イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  レコメンデーション：  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Configuration.Binder 8.0.2,,,,,"Microsoft.Extensions.Configuration.Binder, 8.0.2  レコメンデーション：  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Configuration.FileExtensions 8.0.1,,,,,"Microsoft.Extensions.Configuration.FileExtensions, 8.0.1  レコメンデーション：  Remove Microsoft.Extensions.Configuration.FileExtensions, and replace with new package Microsoft.Extensions.Configuration.FileExtensions 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.1,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.1  レコメンデーション：  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 8.0.1,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 8.0.1  レコメンデーション：  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.1,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.1  レコメンデーション：  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  レコメンデーション：  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.2"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  レコメンデーション：  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\CheckListMaker.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0;net8.0-android 推奨されるターゲット フレームワーク: net8.0;net8.0-android;net10.0-android;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CheckListMaker\CheckListMaker.csproj,File,CheckListMaker\obj\Debug\net8.0-android\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\Resources_Styles_Styles.xaml.sg.cs,29,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(__TypeD85761B3D7432F3C));"
